年月日,平均気温,天気概況（昼）,都市
2022/5/21,21.1,曇一時雨後一時晴,熊本
2022/5/22,22.1,晴一時曇,熊本
2022/5/23,21.9,曇後一時晴,熊本
2022/5/24,23.8,晴時々曇、雷を伴う,熊本
2022/5/25,24.7,晴後一時曇、雷を伴う,熊本
2022/5/26,21.0,雨時々曇,熊本
2022/5/27,21.8,晴,熊本
2022/5/28,22.2,曇時々晴,熊本
2022/5/29,23.0,曇後一時雨一時晴,熊本
2022/5/30,20.9,雨後曇一時晴,熊本
2022/5/31,23.6,曇一時雨後晴,熊本
2022/6/1,21.6,曇,熊本
2022/6/2,22.9,晴,熊本
2022/6/3,24.1,晴,熊本
2022/6/4,24.8,晴後時々曇,熊本
2022/6/5,20.7,雨時々曇,熊本
2022/6/6,0.0,,熊本
2022/6/7,0.0,,熊本
2022/6/8,0.0,,熊本
2022/6/9,0.0,,熊本
2022/6/10,0.0,,熊本
2022/6/11,0.0,,熊本
2022/6/12,0.0,,熊本
2022/6/13,0.0,,熊本
2022/6/14,0.0,,熊本
2022/6/15,0.0,,熊本
2022/6/16,0.0,,熊本
2022/6/17,0.0,,熊本
2022/6/18,0.0,,熊本
2022/6/19,0.0,,熊本
2022/6/20,0.0,,熊本
2022/6/21,0.0,,熊本
2022/6/22,0.0,,熊本
2022/6/23,0.0,,熊本
2022/6/24,0.0,,熊本
2022/6/25,0.0,,熊本
2022/6/26,0.0,,熊本
2022/6/27,0.0,,熊本
2022/6/28,0.0,,熊本
2022/6/29,0.0,,熊本
2022/6/30,0.0,,熊本
