年月日,平均気温,天気概況（昼）,都市
2022/5/24,21.5,晴時々曇,宮崎
2022/5/25,21.9,晴後曇一時雨,宮崎
2022/5/26,20.8,雨時々曇,宮崎
2022/5/27,23.7,晴一時曇,宮崎
2022/5/28,23.5,曇,宮崎
2022/5/29,21.4,曇時々雨,宮崎
2022/5/30,21.8,雨後曇,宮崎
2022/5/31,24.0,晴時々曇,宮崎
2022/6/1,20.6,雨時々曇,宮崎
2022/6/2,21.1,晴時々曇,宮崎
2022/6/3,22.5,晴時々曇,宮崎
2022/6/4,22.9,晴後時々曇,宮崎
2022/6/5,20.5,大雨一時曇,宮崎
2022/6/6,0.0,,宮崎
2022/6/7,0.0,,宮崎
2022/6/8,0.0,,宮崎
2022/6/9,0.0,,宮崎
2022/6/10,0.0,,宮崎
2022/6/11,0.0,,宮崎
2022/6/12,0.0,,宮崎
2022/6/13,0.0,,宮崎
2022/6/14,0.0,,宮崎
2022/6/15,0.0,,宮崎
2022/6/16,0.0,,宮崎
2022/6/17,0.0,,宮崎
2022/6/18,0.0,,宮崎
2022/6/19,0.0,,宮崎
2022/6/20,0.0,,宮崎
2022/6/21,0.0,,宮崎
2022/6/22,0.0,,宮崎
2022/6/23,0.0,,宮崎
2022/6/24,0.0,,宮崎
2022/6/25,0.0,,宮崎
2022/6/26,0.0,,宮崎
2022/6/27,0.0,,宮崎
2022/6/28,0.0,,宮崎
2022/6/29,0.0,,宮崎
2022/6/30,0.0,,宮崎
